PacketCounter;SampleTimeFine;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;StatusWord;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw;Latitude;Longitude;Altitude;Vel_X;Vel_Y;Vel_Z;tv_sec;tv_usec
138245;483984.52;483967520;2016;9;30;14;26;7.52;15;0;-0.161;0.163;9.701;-0.243071;-0.204231;0.016205;0;0;0;-0.833;-0.775;-22.458;48.418072;-4.473293;88.575;-0.008;0.006;-0.026;;
138265;483984.539;483967539;2016;9;30;14;26;7.539;15;0;-0.146;0.16;9.71;-0.20568;-0.253431;0.00797;0;0;0;-0.833;-0.775;-22.46;48.418072;-4.473293;88.575;-0.008;0.006;-0.027;;
138285;483984.56;483967560;2016;9;30;14;26;7.56;15;0;-0.154;0.147;9.717;-0.246753;-0.223171;0.018107;0;0;0;-0.832;-0.774;-22.46;48.418072;-4.473293;88.574;-0.009;0.006;-0.027;;
138305;483984.58;483967580;2016;9;30;14;26;7.58;15;0;-0.152;0.177;9.744;-0.225552;-0.236532;-0.019777;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.574;-0.009;0.006;-0.027;;
138325;483984.599;483967599;2016;9;30;14;26;7.599;15;0;-0.158;0.181;9.72;-0.212002;-0.177793;-0.005845;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.573;-0.009;0.006;-0.028;;
138345;483984.62;483967620;2016;9;30;14;26;7.62;15;0;-0.171;0.16;9.712;-0.146082;-0.210834;0.008914;0;0;0;-0.832;-0.774;-22.461;48.418072;-4.473293;88.572;-0.009;0.006;-0.028;;
138365;483984.639;483967639;2016;9;30;14;26;7.639;15;0;-0.142;0.155;9.707;-0.197874;-0.218902;0.053816;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.572;-0.009;0.006;-0.029;;
138385;483984.659;483967659;2016;9;30;14;26;7.659;15;0;-0.144;0.156;9.717;-0.145102;-0.200729;0.001835;0;0;0;-0.832;-0.774;-22.462;48.418072;-4.473293;88.575;-0.009;0.007;-0.027;;
138405;483984.68;483967680;2016;9;30;14;26;7.68;15;0;-0.173;0.159;9.708;-0.244609;-0.257154;0.006031;0;0;0;-0.831;-0.774;-22.465;48.418072;-4.473293;88.578;-0.009;0.008;-0.025;;
138425;483984.699;483967699;2016;9;30;14;26;7.699;15;0;-0.149;0.157;9.709;-0.198025;-0.25641;-0.012435;0;0;0;-0.831;-0.774;-22.465;48.418072;-4.473293;88.577;-0.01;0.008;-0.025;;
138445;483984.719;483967719;2016;9;30;14;26;7.719;15;0;-0.147;0.162;9.728;-0.243694;-0.178298;-0.028036;0;0;0;-0.831;-0.774;-22.465;48.418072;-4.473293;88.577;-0.01;0.008;-0.026;;
138465;483984.74;483967740;2016;9;30;14;26;7.74;15;0;-0.141;0.152;9.729;-0.196349;-0.205243;0.02171;0;0;0;-0.831;-0.774;-22.468;48.418072;-4.473293;88.576;-0.01;0.008;-0.026;;
138485;483984.759;483967759;2016;9;30;14;26;7.759;15;0;-0.143;0.167;9.715;-0.231368;-0.210785;0.011829;0;0;0;-0.83;-0.773;-22.468;48.418072;-4.473293;88.576;-0.01;0.007;-0.026;;
138505;483984.78;483967780;2016;9;30;14;26;7.78;15;0;-0.156;0.157;9.719;-0.164022;-0.252286;-0.012171;0;0;0;-0.831;-0.773;-22.471;48.418072;-4.473293;88.575;-0.01;0.008;-0.027;;
138525;483984.8;483967800;2016;9;30;14;26;7.8;15;0;-0.157;0.174;9.707;-0.180389;-0.236193;-0.003415;0;0;0;-0.831;-0.773;-22.471;48.418072;-4.473293;88.574;-0.01;0.008;-0.027;;
138545;483984.819;483967819;2016;9;30;14;26;7.819;15;0;-0.14;0.159;9.732;-0.200085;-0.242125;-0.004241;0;0;0;-0.831;-0.772;-22.472;48.418072;-4.473293;88.574;-0.01;0.008;-0.027;;
138565;483984.84;483967840;2016;9;30;14;26;7.84;15;0;-0.15;0.178;9.693;-0.17962;-0.1938;0.014078;0;0;0;-0.831;-0.772;-22.475;48.418072;-4.473293;88.573;-0.011;0.008;-0.027;;
138585;483984.86;483967860;2016;9;30;14;26;7.86;15;0;-0.148;0.136;9.716;-0.141327;-0.164206;0.030914;0;0;0;-0.834;-0.775;-22.475;48.418072;-4.473293;88.571;-0.009;0.006;-0.029;;
138605;483984.879;483967879;2016;9;30;14;26;7.879;15;0;-0.155;0.172;9.734;-0.221851;-0.240249;-0.001854;0;0;0;-0.833;-0.775;-22.476;48.418072;-4.473293;88.569;-0.007;0.005;-0.03;;
138625;483984.9;483967900;2016;9;30;14;26;7.9;15;0;-0.16;0.143;9.714;-0.234794;-0.210662;-0.012351;0;0;0;-0.833;-0.774;-22.476;48.418072;-4.473293;88.568;-0.008;0.005;-0.031;;
