12535222,484471555,-44115982
12535322,484471200,-44112317
12535422,484471335,-44110531
12535522,484470737,-44110314
12535722,484470490,-44110013
12535822,484470490,-44110013
12535922,484470490,-44110013
12540022,484470490,-44110013
12540122,484469820,-44109829
12540222,484469586,-44109877
12540322,484469497,-44109904
12540422,484469437,-44109940
12540522,484469349,-44109942
12540622,484469349,-44109942
12540722,484469349,-44109942
12540822,484469349,-44109942
12540922,484469349,-44109942
12541022,484469349,-44109942
12541122,484469349,-44109942
12541222,484469349,-44109942
12541322,484469349,-44109942
12541422,484469349,-44109942
12541522,484469349,-44109942
12541622,484469349,-44109942
12541722,484469349,-44109942
12541822,484469349,-44109942
12541922,484469349,-44109942
12542022,484469349,-44109942
12542122,484469349,-44109942
12542222,484469349,-44109942
12542322,484469349,-44109942
12542422,484469349,-44109942
12542522,484469349,-44109942
12542622,484469349,-44109942
12542722,484469349,-44109942
12542822,484469349,-44109942
12542922,484469349,-44109942
12543022,484469349,-44109942
12543122,484469349,-44109942
12543222,484469349,-44109942
12543322,484469349,-44109942
12543422,484469349,-44109942
12543522,484469349,-44109942
12543622,484469349,-44109942
12543722,484469349,-44109942
12543822,484469349,-44109942
12543922,484469349,-44109942
12544022,484469349,-44109942
12544122,484469349,-44109942
12544222,484469349,-44109942
12544322,484469349,-44109942
12544422,484469349,-44109942
12544522,484469349,-44109942
12544622,484469349,-44109942
12544722,484469349,-44109942
12544822,484469349,-44109942
12544922,484469349,-44109942
12545022,484469349,-44109942
12545122,484469349,-44109942
12545222,484469349,-44109942
12545322,484469349,-44109942
12545422,484469349,-44109942
12545522,484469349,-44109942
12545622,484469349,-44109942
12545722,484469349,-44109942
12545822,484469349,-44109942
12545922,484469349,-44109942
12550022,484469349,-44109942
12550122,484469349,-44109942
12550222,484469349,-44109942
12550322,484469349,-44109942
12550422,484469349,-44109942
12550522,484469349,-44109942
12550622,484469349,-44109942
12550722,484469349,-44109942
12550822,484469349,-44109942
12550922,484469349,-44109942
12551022,484469349,-44109942
12551122,484469349,-44109942
12551222,484469349,-44109942
12551322,484469349,-44109942
12551422,484469349,-44109942
12551522,484469349,-44109942
12551622,484469349,-44109942
12551722,484469349,-44109942
12551822,484469349,-44109942
12551922,484469349,-44109942
12552022,484469349,-44109942
12552122,484469349,-44109942
12552222,484469349,-44109942
12552322,484469349,-44109942
12552422,484469349,-44109942
12552522,484469349,-44109942
12552622,484469349,-44109942
12552722,484469349,-44109942
12552822,484469349,-44109942
12552922,484469349,-44109942
12553022,484469349,-44109942
12553122,484469349,-44109942
12553222,484469349,-44109942
12553322,484469349,-44109942
12553422,484469349,-44109942
12553522,484469349,-44109942
12553622,484469349,-44109942
12553722,484469349,-44109942
12553822,484469349,-44109942
12553922,484468537,-44110309
12554022,484468486,-44110317
12554122,484468454,-44110329
12554222,484468461,-44110321
12554322,484468461,-44110321
12554422,484468461,-44110321
12554522,484468461,-44110321
12554622,484468461,-44110321
12554722,484468461,-44110321
12554822,484468461,-44110321
12554922,484468461,-44110321
12555022,484468461,-44110321
12555122,484468461,-44110321
12555222,484468461,-44110321
12555322,484468461,-44110321
12555422,484468461,-44110321
12555522,484468461,-44110321
12555622,484468461,-44110321
12555722,484468461,-44110321
12555822,484468461,-44110321
12555922,484468461,-44110321
12560022,484468461,-44110321
12560122,484468461,-44110321
12560222,484468461,-44110321
12560322,484468461,-44110321
12560422,484468461,-44110321
12560522,484468461,-44110321
12560622,484468461,-44110321
12560722,484468461,-44110321
12560822,484468461,-44110321
12560922,484468461,-44110321
12561022,484468461,-44110321
12561122,484468461,-44110321
12561222,484468461,-44110321
12561322,484468461,-44110321
12561422,484468461,-44110321
12561522,484468461,-44110321
12561622,484468461,-44110321
12561722,484468461,-44110321
12561822,484468461,-44110321
12561922,484468461,-44110321
12562022,484468461,-44110321
12562122,484468461,-44110321
12562222,484468461,-44110321
12562322,484468461,-44110321
12562422,484468461,-44110321
12562522,484468461,-44110321
12562622,484468461,-44110321
12562722,484468461,-44110321
12562822,484468461,-44110321
12562922,484468461,-44110321
12563022,484468461,-44110321
12563122,484468461,-44110321
12563222,484468461,-44110321
12563322,484468461,-44110321
12563422,484468461,-44110321
12563522,484468613,-44110169
12563622,484468588,-44110127
12563722,484468564,-44110102
12563822,484468553,-44110101
12563922,484468553,-44110101
12564022,484468553,-44110101
12564122,484468553,-44110101
12564222,484468553,-44110101
12564322,484468553,-44110101
12564422,484468553,-44110101
12564522,484468553,-44110101
12564622,484468566,-44110093
12564722,484468594,-44110122
12564822,484468582,-44110225
12564922,484468570,-44110294
12565022,484468509,-44110354
12565122,484468450,-44110398
12565222,484468324,-44110433
12565322,484468222,-44110465
12565422,484468201,-44110443
12565522,484468209,-44110426
12565622,484468217,-44110381
12565722,484468213,-44110334
12565822,484468216,-44110316
12565922,484468202,-44110334
12570022,484468192,-44110327
12570122,484468192,-44110327
12570222,484468192,-44110327
12570322,484468192,-44110327
12570422,484468192,-44110327
12570522,484468192,-44110327
12570622,484468192,-44110327
12570722,484468192,-44110327
12570822,484468192,-44110327
12570922,484468192,-44110327
12571022,484468192,-44110327
12571122,484468192,-44110327
12571222,484467898,-44110128
12571322,484467893,-44109995
12571422,484467913,-44109912
12571522,484467918,-44109904
12571622,484467918,-44109904
12571722,484467918,-44109904
12571822,484467918,-44109904
12571922,484467918,-44109904
12572022,484467918,-44109904
12572122,484467918,-44109904
12572222,484467918,-44109904
12572322,484467918,-44109904
12572422,484467918,-44109904
12572522,484467918,-44109904
12572622,484467918,-44109904
12572722,484467918,-44109904
