49290.000000;48.418263;-4.472082;96.700000;
49291.000000;48.418263;-4.472082;96.400000;
49292.000000;48.418262;-4.472082;96.100000;
49293.000000;48.418260;-4.472082;95.800000;
49294.000000;48.418258;-4.472082;95.500000;
49295.000000;48.418257;-4.472082;95.300000;
49296.000000;48.418255;-4.472080;95.000000;
49297.000000;48.418253;-4.472080;94.800000;
49299.000000;48.418245;-4.472078;94.600000;
49300.000000;48.418245;-4.472078;94.400000;
49301.000000;48.418245;-4.472078;94.200000;
49302.000000;48.418245;-4.472078;94.000000;
49437.000000;48.418152;-4.472032;94.000000;
49438.000000;48.418165;-4.472035;94.100000;
49439.000000;48.418180;-4.472038;94.100000;
49440.000000;48.418192;-4.472042;94.000000;
49441.000000;48.418200;-4.472043;94.000000;
49442.000000;48.418208;-4.472047;94.000000;
49443.000000;48.418217;-4.472048;93.900000;
49444.000000;48.418225;-4.472052;93.800000;
49445.000000;48.418232;-4.472053;93.800000;
49446.000000;48.418238;-4.472055;93.700000;
49447.000000;48.418245;-4.472057;93.500000;
49448.000000;48.418250;-4.472060;93.400000;
49449.000000;48.418255;-4.472062;93.200000;
49450.000000;48.418260;-4.472063;93.000000;
49451.000000;48.418265;-4.472063;92.800000;
49452.000000;48.418268;-4.472065;92.700000;
49453.000000;48.418272;-4.472067;92.400000;
49454.000000;48.418275;-4.472067;92.200000;
49455.000000;48.418278;-4.472068;92.000000;
49456.000000;48.418280;-4.472068;91.700000;
49457.000000;48.418283;-4.472070;91.500000;
49458.000000;48.418285;-4.472070;91.200000;
49459.000000;48.418287;-4.472070;90.900000;
49460.000000;48.418288;-4.472072;90.700000;
49461.000000;48.418292;-4.472072;90.400000;
49462.000000;48.418292;-4.472072;90.200000;
49463.000000;48.418292;-4.472072;89.900000;
49464.000000;48.418292;-4.472072;89.700000;
49465.000000;48.418292;-4.472072;89.500000;
49466.000000;48.418292;-4.472072;89.300000;
49467.000000;48.418292;-4.472072;89.100000;
49468.000000;48.418292;-4.472072;88.900000;
49469.000000;48.418290;-4.472070;88.700000;
49470.000000;48.418290;-4.472070;88.500000;
49471.000000;48.418288;-4.472070;88.400000;
49472.000000;48.418288;-4.472068;88.200000;
49473.000000;48.418287;-4.472068;88.100000;
49474.000000;48.418285;-4.472068;88.000000;
49475.000000;48.418285;-4.472068;87.900000;
49476.000000;48.418283;-4.472068;87.800000;
49477.000000;48.418282;-4.472067;87.700000;
49478.000000;48.418282;-4.472067;87.600000;
49479.000000;48.418280;-4.472067;87.500000;
49480.000000;48.418280;-4.472068;87.500000;
49481.000000;48.418278;-4.472067;87.400000;
49482.000000;48.418278;-4.472068;87.400000;
49483.000000;48.418277;-4.472068;87.300000;
49484.000000;48.418275;-4.472068;87.300000;
49485.000000;48.418275;-4.472068;87.300000;
49486.000000;48.418273;-4.472068;87.200000;
49487.000000;48.418272;-4.472068;87.200000;
49488.000000;48.418272;-4.472068;87.200000;
49489.000000;48.418270;-4.472068;87.100000;
49490.000000;48.418268;-4.472068;87.100000;
49491.000000;48.418268;-4.472070;87.100000;
49492.000000;48.418267;-4.472068;87.000000;
49493.000000;48.418267;-4.472070;87.000000;
49494.000000;48.418265;-4.472070;87.000000;
49495.000000;48.418265;-4.472070;86.900000;
49496.000000;48.418263;-4.472068;86.900000;
49497.000000;48.418262;-4.472068;86.900000;
49498.000000;48.418262;-4.472070;86.900000;
49499.000000;48.418262;-4.472070;86.900000;
49500.000000;48.418260;-4.472068;87.000000;
49501.000000;48.418260;-4.472068;87.000000;
49502.000000;48.418260;-4.472070;87.000000;
49503.000000;48.418260;-4.472070;87.000000;
49504.000000;48.418260;-4.472070;86.900000;
49505.000000;48.418260;-4.472070;87.000000;
49506.000000;48.418250;-4.472067;87.300000;
49507.000000;48.418238;-4.472063;88.100000;
49508.000000;48.418228;-4.472060;89.200000;
49509.000000;48.418220;-4.472058;90.600000;
49510.000000;48.418213;-4.472057;92.100000;
49511.000000;48.418207;-4.472055;93.800000;
49512.000000;48.418202;-4.472052;95.600000;
49513.000000;48.418197;-4.472050;97.600000;
49514.000000;48.418192;-4.472050;99.600000;
49515.000000;48.418188;-4.472048;101.600000;
49516.000000;48.418185;-4.472047;103.600000;
49517.000000;48.418182;-4.472045;105.700000;
49518.000000;48.418180;-4.472045;107.700000;
49519.000000;48.418178;-4.472045;109.800000;
49520.000000;48.418175;-4.472043;111.800000;
49521.000000;48.418173;-4.472043;113.700000;
49522.000000;48.418173;-4.472043;115.600000;
49523.000000;48.418172;-4.472042;117.500000;
49524.000000;48.418170;-4.472042;119.300000;
49525.000000;48.418170;-4.472042;121.100000;
49526.000000;48.418168;-4.472040;122.800000;
49527.000000;48.418167;-4.472040;124.400000;
49528.000000;48.418167;-4.472040;126.000000;
49529.000000;48.418167;-4.472040;127.600000;
49530.000000;48.418165;-4.472040;129.100000;
49531.000000;48.418165;-4.472040;130.500000;
49532.000000;48.418165;-4.472040;131.900000;
49533.000000;48.418165;-4.472038;133.200000;
49534.000000;48.418163;-4.472038;134.500000;
49535.000000;48.418163;-4.472038;135.700000;
49536.000000;48.418163;-4.472037;136.900000;
49537.000000;48.418162;-4.472037;138.100000;
49538.000000;48.418162;-4.472035;139.200000;
49539.000000;48.418162;-4.472035;140.300000;
49540.000000;48.418162;-4.472033;141.300000;
49541.000000;48.418162;-4.472033;142.300000;
49542.000000;48.418160;-4.472033;143.300000;
49543.000000;48.418160;-4.472033;144.200000;
49544.000000;48.418160;-4.472032;145.000000;
49545.000000;48.418160;-4.472032;145.900000;
49546.000000;48.418160;-4.472032;146.700000;
